,NEW_STATUS,F0119,T0186,S1628,AGE_T_x,S0287,T0178,T0080,EARNALL,T0356,T0329,T0330,T0332,T0333,T0336,T0155,T0157,T0182,T0184,T0159,T0165,T0174,TOTEXPER_x
117,1,1.0,0,1.0,0,1.0,1.0,1.0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,35
118,1,0.0,0,1.0,0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,34
119,1,0.0,0,1.0,1,0.0,0.0,1.0,1,2,1,1,1,1,1,0,1,0,1,0,1,1,2
120,1,1.0,0,1.0,1,1.0,1.0,0.0,1,2,0,0,1,0,0,1,1,0,1,1,1,1,1
121,1,1.0,0,,1,1.0,,0.0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,2
122,1,,0,1.0,0,0.0,,0.0,1,2,1,1,1,0,1,0,1,0,0,0,1,0,36
123,1,1.0,0,,0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,36
124,1,,0,0.0,0,0.0,1.0,1.0,0,2,1,1,1,1,0,1,1,0,0,0,0,0,31
125,1,0.0,1,1.0,0,0.0,1.0,1.0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,2
126,1,0.0,0,1.0,0,0.0,,1.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,37
127,1,0.0,0,1.0,0,0.0,,1.0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,33
128,1,1.0,0,0.0,0,1.0,1.0,0.0,1,2,1,1,1,0,1,1,1,0,0,0,1,1,17
129,1,1.0,0,1.0,0,0.0,1.0,0.0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,4
130,1,1.0,0,0.0,0,,0.0,1.0,0,2,0,0,1,0,1,1,1,0,0,1,1,0,26
131,1,,0,1.0,0,0.0,,0.0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,31
132,1,0.0,0,1.0,0,0.0,,1.0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,20
133,1,1.0,0,0.0,1,0.0,1.0,1.0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,5
134,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,39
135,1,0.0,0,0.0,0,0.0,,1.0,0,2,0,0,1,0,0,0,1,0,1,0,1,0,31
136,1,1.0,0,1.0,0,0.0,1.0,0.0,0,2,0,0,1,0,1,0,1,0,0,1,1,1,35
137,1,1.0,0,0.0,1,0.0,,0.0,1,2,1,1,1,1,1,0,0,1,1,0,0,0,4
138,1,,0,0.0,0,1.0,0.0,1.0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,6
139,1,1.0,0,0.0,0,1.0,,0.0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,34
140,1,1.0,0,0.0,1,1.0,1.0,0.0,1,2,0,1,1,0,0,0,1,1,1,1,1,0,9
141,1,1.0,0,1.0,0,1.0,,1.0,0,2,1,1,0,0,0,1,1,0,0,0,1,0,26
142,1,0.0,0,1.0,0,0.0,,1.0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,37
143,1,0.0,0,1.0,0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,35
144,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,0,0,0,1,1,0,1,1,1,0,30
145,1,1.0,0,1.0,0,0.0,1.0,0.0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,29
146,1,1.0,0,1.0,0,1.0,1.0,1.0,0,2,1,0,1,0,0,1,1,1,1,0,0,0,27
147,1,0.0,0,0.0,1,1.0,1.0,0.0,1,2,0,0,0,0,0,1,1,1,0,1,0,0,10
148,1,1.0,1,1.0,1,0.0,1.0,1.0,0,2,0,1,0,0,1,0,1,0,1,1,1,1,9
149,1,1.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,1,0,1,1,1,0,1,1,1,0,6
150,1,0.0,0,1.0,0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,26
151,1,1.0,0,0.0,1,1.0,1.0,0.0,1,2,1,1,1,0,0,0,1,1,1,1,1,1,2
152,1,1.0,0,1.0,0,1.0,,1.0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,29
153,1,,0,1.0,1,1.0,1.0,1.0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,8
154,1,1.0,0,1.0,1,1.0,,1.0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1
155,1,1.0,0,0.0,0,0.0,0.0,1.0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,17
156,1,0.0,0,0.0,0,0.0,1.0,0.0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,3
157,1,1.0,0,0.0,0,1.0,,0.0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,30
158,1,0.0,1,,1,1.0,,1.0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,11
159,1,1.0,0,0.0,0,0.0,,,1,2,0,0,0,0,1,0,1,0,0,0,1,1,6
160,1,0.0,0,1.0,1,1.0,0.0,1.0,1,2,1,1,0,0,0,0,1,0,1,0,1,0,7
161,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,1,1,0,0,1,1,1,0,0,0,1,0,31
162,1,0.0,0,0.0,0,1.0,,0.0,1,2,1,1,1,1,1,0,1,0,0,1,0,0,38
163,1,,0,0.0,0,1.0,0.0,1.0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,30
164,1,,0,0.0,0,0.0,0.0,0.0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,35
165,1,1.0,0,1.0,1,0.0,0.0,1.0,1,2,0,0,0,0,1,1,1,0,0,0,1,0,12
166,1,0.0,0,,0,1.0,,0.0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,11
167,1,1.0,0,,0,0.0,1.0,0.0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,30
168,1,1.0,1,1.0,0,1.0,1.0,0.0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,27
169,1,0.0,0,1.0,0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,20
170,1,1.0,0,,0,0.0,0.0,1.0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,33
171,1,0.0,1,0.0,1,1.0,1.0,1.0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,12
172,1,1.0,0,1.0,1,,1.0,1.0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1
173,1,1.0,0,1.0,0,1.0,,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,30
174,1,,0,1.0,0,0.0,,0.0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,7
175,1,1.0,0,1.0,0,0.0,1.0,1.0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,11
176,1,1.0,0,0.0,0,0.0,,1.0,0,2,1,1,1,1,1,1,1,0,0,1,1,1,30
177,1,1.0,0,0.0,0,0.0,1.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,33
178,1,,0,1.0,0,0.0,0.0,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
179,1,1.0,0,0.0,0,0.0,,0.0,0,2,0,0,1,0,1,1,1,0,0,1,0,1,31
180,1,0.0,0,1.0,0,1.0,0.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,33
181,1,1.0,0,1.0,0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,30
182,1,0.0,0,1.0,0,1.0,1.0,0.0,0,2,0,0,0,0,1,1,1,0,0,1,1,0,24
183,1,1.0,0,0.0,0,0.0,1.0,0.0,1,2,1,1,0,1,1,1,1,0,0,0,1,1,37
184,1,1.0,0,0.0,0,0.0,1.0,1.0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,34
185,1,1.0,0,1.0,1,0.0,1.0,0.0,0,2,0,0,1,0,1,1,1,0,0,1,1,1,1
186,1,0.0,0,,0,0.0,1.0,1.0,0,2,0,1,0,0,1,0,1,0,0,1,1,1,18
187,1,1.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,2
188,1,1.0,0,1.0,0,1.0,,0.0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,35
189,1,0.0,0,,0,0.0,1.0,1.0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,31
190,1,1.0,0,1.0,1,0.0,1.0,0.0,0,2,0,0,1,0,0,1,1,0,0,0,1,1,3
191,1,0.0,0,1.0,1,0.0,1.0,1.0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1
192,1,1.0,0,1.0,0,1.0,1.0,1.0,0,2,1,1,1,1,1,1,1,0,1,1,1,0,7
193,1,1.0,0,0.0,0,0.0,,1.0,1,2,1,0,0,1,1,0,1,0,1,1,1,0,19
194,1,0.0,0,1.0,0,,1.0,1.0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,19
195,1,,0,1.0,1,1.0,1.0,1.0,1,2,0,0,1,0,1,1,1,0,1,0,0,1,4
196,1,1.0,1,1.0,0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25
197,1,1.0,0,1.0,0,1.0,,1.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,31
198,1,1.0,0,1.0,0,1.0,1.0,1.0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,27
199,1,,0,0.0,0,1.0,,1.0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,24
200,1,0.0,0,1.0,0,0.0,,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2
201,1,1.0,0,1.0,0,0.0,0.0,1.0,0,2,0,0,1,0,1,1,1,0,0,1,1,1,26
202,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,1,0,1,1,1,0,1,1,1,0,27
203,1,1.0,0,1.0,0,0.0,1.0,0.0,1,2,0,0,0,0,1,0,1,0,1,1,0,0,25
204,1,1.0,0,1.0,1,0.0,0.0,,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1
205,1,0.0,0,0.0,1,1.0,1.0,0.0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,5
206,1,0.0,0,,0,1.0,0.0,0.0,0,2,0,0,1,0,0,0,1,1,0,1,1,0,9
207,1,0.0,0,1.0,1,0.0,,0.0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,5
208,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,0,0,1,1,1,0,1,1,1,1,28
209,1,1.0,0,0.0,1,0.0,1.0,1.0,1,2,0,0,1,0,1,0,1,0,1,1,1,1,5
210,1,,0,1.0,1,0.0,,1.0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,11
211,1,1.0,1,1.0,0,1.0,,0.0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,35
212,1,,0,1.0,0,0.0,,1.0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,38
213,1,,0,1.0,1,1.0,,0.0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,4
214,1,1.0,0,1.0,1,0.0,,1.0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
215,1,0.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,33
216,1,1.0,0,1.0,1,0.0,1.0,1.0,1,2,0,0,1,0,0,1,0,0,0,0,1,1,13
217,1,0.0,0,,0,0.0,0.0,0.0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,15
218,1,1.0,0,1.0,1,0.0,0.0,0.0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1
219,1,,0,1.0,0,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,40
220,1,1.0,0,0.0,1,0.0,1.0,1.0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,15
221,1,,0,1.0,1,0.0,0.0,0.0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,5
222,1,1.0,1,1.0,0,0.0,1.0,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4
223,1,1.0,1,0.0,1,1.0,,1.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,10
224,1,1.0,0,1.0,0,1.0,,0.0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,33
225,1,0.0,0,0.0,0,0.0,1.0,0.0,0,2,1,0,1,0,1,0,1,0,0,1,1,1,26
226,1,0.0,0,1.0,0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,26
227,1,1.0,0,1.0,0,0.0,1.0,1.0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,4
228,1,1.0,1,0.0,1,0.0,1.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,7
229,1,1.0,0,1.0,1,1.0,,0.0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,2
230,1,1.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,0,0,1,0,1,0,0,0,1,1,1
231,1,1.0,0,1.0,0,0.0,,0.0,1,2,1,1,1,1,1,0,1,1,0,0,0,0,5
232,1,1.0,0,0.0,0,0.0,1.0,0.0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,33
233,1,1.0,0,0.0,0,,1.0,0.0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,30
234,1,0.0,0,1.0,1,0.0,1.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12
235,1,1.0,0,0.0,1,0.0,1.0,0.0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1
236,1,1.0,0,1.0,0,1.0,0.0,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,31
